shift,matches_real,matches_shuffled
293,184737,185494
294,185061,185259
295,185219,185439
296,185965,185534
297,185805,185686
298,185558,185131
299,185432,185608
300,184579,185144
301,186005,184564
302,185172,184270
303,184999,184727
304,185130,185174
305,185805,185183
306,184269,185190
307,185160,185342
308,184685,186151
309,185230,185406
310,185309,185885
311,184556,184664
312,185933,185112
313,185062,184713
314,184866,184703
315,184805,185292
316,185109,185226
317,185393,184843
318,184896,185001
319,185839,185150
320,184291,184750
321,184912,185408
322,185128,185556
323,185223,184586
324,184798,184010
325,184398,185539
326,185377,185439
327,184977,185501
328,185690,185154
329,185519,184915
330,184224,184996
331,185095,185437
332,186037,185257
333,185276,184898
334,185054,186057
335,185049,184842
336,186293,185041
337,185125,185338
338,184591,185319
339,184775,184396
340,185254,185149
341,185653,185472
342,185371,185612
343,184641,185691
344,184776,186435
345,185810,185383
346,184718,185099
347,185042,184962
348,184821,185802
349,185218,185319
350,184759,184831
351,184544,184765
352,185659,185061
353,185244,184623
354,184741,185066
355,185549,184892
356,184834,184857
357,185350,184975
358,185037,185009
359,186136,184942
360,184985,184703
361,185882,185184
362,185207,184954
363,185659,185577
364,185066,185721
365,185507,185209
366,185570,185743
367,185445,184368
368,185324,185488
369,184915,184506
370,184812,185375
371,185124,184850
372,185632,184753
373,185155,184468
374,185535,184663
375,185490,185712
376,184871,184894
377,185191,186230
378,184860,185527
379,185738,185404
380,184916,185709
381,185669,184931
382,184632,185172
383,185899,184902
384,184911,185232
385,185188,184895
386,185558,186227
387,185086,184687
388,184446,184862
389,185612,184771
390,185470,185430
391,186004,185175
392,185334,185319
393,185512,184544
394,184536,185097
395,184426,184973
396,185519,185509
397,184887,184991
398,185052,185877
399,186042,184742
400,185315,184919
401,184899,185878
402,184720,185103
403,185013,184990
404,185198,185523
405,185296,184993
406,185248,185048
407,184854,185118
408,185371,184971
409,185255,185485
410,185653,185581
411,184488,184686
412,185074,186007
413,184879,184687
414,184843,184255
415,184694,184963
416,184975,185223
417,185341,185092
418,185474,185400
419,185097,185595
420,185478,185258
421,184834,185188
422,184764,184993
423,185419,185586
424,185361,185108
425,184960,184956
426,184815,185168
427,184657,185317
428,185355,184505
429,186108,185802
430,185829,185383
431,185486,185286
432,185093,184826
433,184933,184421
434,185457,185134
435,185511,184852
436,185394,184476
437,185057,185727
438,185380,185545
439,185375,184540
440,184664,185956
441,184619,184617
442,185010,184954
443,185688,185236
444,185456,185377
445,184081,184836
446,185204,185367
447,184907,184943
448,185806,184758
449,184711,185801
450,185592,185248
451,185132,185277
452,185500,184232
453,185833,185594
454,185122,185084
455,184897,185760
456,185168,184884
457,185422,184629
458,184012,185722
459,184951,184771
460,184624,185724
461,184876,185311
462,185769,185049
463,185245,185296
464,184953,185424
465,185895,184712
466,185385,184889
467,184633,184392
468,185154,185198
469,186183,185481
470,184654,184841
471,184625,185056
472,184772,185610
473,184878,185231
474,185766,184377
475,185138,185441
476,184886,184581
477,185008,185212
478,185259,184412
479,184439,186463
480,185283,185299
481,185019,184908
482,185333,184919
483,185792,185366
484,185754,185813
485,185318,185310
486,184533,184796
487,185405,184756
488,184924,185586
489,185360,184548
490,185378,184543
491,185217,185643
492,185472,185057
493,185782,185805
494,184837,184803
495,186008,185402
496,185508,185044
497,184707,184410
498,185348,185557
499,185287,186331
500,184532,185387
501,185495,185621
502,185151,184992
503,185249,185446
504,185678,186074
505,185085,185230
506,184845,185179
507,184526,185261
508,184654,184880
509,184769,185703
510,184876,185655
511,184816,184982
512,185806,185594
513,184981,185084
514,185182,185372
515,185125,185535
516,185274,185213
517,184741,184766
518,186380,184425
519,184873,185061
520,185002,185789
521,184624,185592
522,185723,185990
523,184689,185690
524,185536,185458
525,185336,185303
526,184273,186239
527,185431,185422
528,184622,185026
529,185508,185260
530,185002,184478
531,185165,186166
532,185151,186090
533,184607,185493
534,184905,185508
535,185501,185502
536,185448,184556
537,184541,185199
538,185117,185097
539,185732,184795
540,185264,184597
541,184656,185275
542,184902,185549
543,185342,185325
544,185547,185214
545,185248,185141
546,185269,185297
547,185195,185138
548,185657,185953
549,185006,185148
550,185787,185160
551,184609,184600
552,185486,185235
553,185641,184773
554,184867,184749
555,185290,185062
556,184893,184470
557,185620,185142
558,185944,184593
559,185483,185667
560,185285,185054
561,185650,184768
562,184881,184744
563,185753,184765
564,184720,185863
565,185454,184889
566,184691,185442
567,184617,185266
568,185026,185601
569,184966,185037
570,184748,185816
571,185768,184593
572,185471,185166
573,185000,186320
574,185353,185303
575,185385,185095
576,184811,184735
577,185079,185287
578,185566,184698
579,184023,185019
580,184669,185129
581,185409,185871
582,185797,184593
583,184923,184367
584,185017,185258
585,184473,185594
586,185041,184799
587,184853,184981
588,184591,184858
589,184491,185616
590,185243,185966
591,184620,185338
592,185354,184986
593,184558,185808
594,185490,184747
595,185173,186010
596,185326,185680
597,185566,184664
598,184636,185298
599,185329,184952
600,185367,185373
601,185278,185661
602,184714,185662
603,184659,186272
604,185202,184771
605,185059,185156
606,185658,185090
607,184457,185414
608,184203,185489
609,185178,186333
610,185097,185017
611,185499,185743
612,185861,185293
613,185036,184836
614,185267,185044
615,185092,185041
616,184777,185863
617,184549,184378
618,185037,185003
619,185272,185037
620,184521,185514
621,185017,185115
622,185197,185089
623,185662,185731
624,184966,185363
625,185212,185024
626,185000,186126
627,185248,185308
628,185337,185713
629,184700,184959
630,185607,185739
631,185114,185293
632,185154,184769
633,184345,186086
634,185407,184947
635,185703,186223
636,184698,185007
637,185212,185791
638,185940,184956
639,185031,185848
640,184912,185130
641,185444,185627
642,185463,184943
643,185106,185189
644,184087,184729
645,185397,185083
646,185476,185928
647,185197,185363
648,185702,184667
649,185361,185430
650,186144,185911
651,185209,184613
652,186124,184735
653,185118,184860
654,185655,184495
655,186011,184916
656,184901,184713
657,185039,184935
658,185468,185239
659,185039,185962
660,185157,185291
661,185639,185106
662,184929,185532
663,185198,185174
664,185246,184877
665,184744,185366
666,184840,185211
667,184682,185592
668,185045,185507
669,185640,185244
670,185476,184909
671,185747,185210
672,184914,184676
673,184757,185680
674,184956,185183
675,184151,184926
676,185596,184987
677,185115,184888
678,186187,185528
679,185087,185431
680,184425,186101
681,185278,185163
682,185598,185883
683,185554,184969
684,184821,184480
685,185177,184997
686,185185,184824
687,185086,184592
688,184855,184962
689,184998,184936
690,186052,185023
691,184985,185138
692,185445,185708
693,185010,185177
694,185108,185318
695,185278,185319
696,184573,185108
697,185822,185381
698,185233,185753
699,185706,185671
700,185799,185749
701,184927,185929
702,184991,184963
703,185532,185651
704,184531,185044
705,185021,185514
706,184995,184949
707,184696,185063
708,185078,185512
709,185151,184251
710,184632,185942
711,185576,185288
712,185032,185412
713,185260,185555
714,185013,185170
715,185745,185938
716,185772,185636
717,185894,185530
718,184564,185070
719,184830,185276
720,185094,185457
721,184742,184738
722,185155,185586
723,186220,184856
724,185476,185078
725,184939,185035
726,185318,185024
727,185220,184470
728,184618,185458
729,184846,185573
730,184469,184825
731,184950,185320
732,185542,184999
733,185190,185242
734,184874,184404
735,185802,184521
736,185147,184953
737,184879,185279
738,185114,186253
739,185549,184581
740,185321,185203
741,185009,184372
742,184297,184830
743,184990,185015
744,185704,184819
745,185639,185355
746,184938,185375
747,184790,184936
748,184996,185075
749,185205,184955
750,184984,185342
751,185089,185016
752,185455,185130
753,185224,185233
754,184909,185589
755,185032,185459
756,185520,184830
757,184693,185207
758,184725,185248
759,184924,185093
760,184685,184904
761,184369,185392
762,185284,185293
763,184932,185139
764,184345,185061
765,185182,185403
766,184230,185540
767,184893,185850
768,185521,186075
769,185145,185363
770,185415,185568
771,185056,185833
772,185737,184757
773,184825,185191
774,184572,185317
775,185123,185418
776,185302,185223
777,185002,184788
778,185022,184816
779,185775,185764
780,184919,185222
781,185058,185290
782,185425,184879
783,184419,185348
784,185200,185340
785,185034,184702
786,185288,184841
787,185510,185079
788,185929,185322
789,185322,185409
790,185688,185627
791,185354,185542
792,185059,185709
793,184603,185183
794,185084,185114
795,185084,184650
796,184973,185129
797,184921,185881
798,185033,184857
799,185296,185859
800,184577,184908
801,186035,185335
802,185154,185082
803,185074,185643
804,185603,184607
805,185736,184542
806,185254,185541
807,185548,185589
808,184305,185233
809,184995,185468
810,184313,185187
811,185053,185376
812,185082,185284
813,185033,185463
814,185329,185224
815,185159,185176
816,184629,185971
817,185902,185599
818,184812,184957
819,185129,185692
820,185448,185793
821,184833,185510
822,185309,185132
823,184912,185654
824,185677,184720
825,184973,184481
826,184709,185341
827,185423,184908
828,185645,185080
829,185488,185432
830,184934,185533
831,184699,184768
832,184643,184615
833,184855,185344
834,184754,185060
835,185479,185800
836,185151,184529
837,185848,185190
838,185279,184845
839,185107,185509
840,185474,185305
841,185050,184884
842,184983,184661
843,185129,185064
844,184677,185107
845,184245,184870
846,185730,185047
847,185200,185197
848,185652,185552
849,185540,184499
850,185627,184895
851,185059,184877
852,184951,184598
853,185124,185087
854,185586,184937
855,185157,185381
856,184784,185417
857,185569,185494
858,184995,184903
859,185536,185682
860,185015,185189
861,185224,185093
862,184936,185280
863,183927,185116
864,185148,185676
865,185212,185308
866,185060,185106
867,184950,185561
868,185470,185069
869,185307,185595
870,184642,184840
871,186015,184994
872,185235,186354
873,184686,185443
874,185080,184568
875,184997,184434
876,185938,184929
877,185027,185608
878,185872,186244
879,184332,184948
880,185528,185682
881,185355,185061
882,184740,185059
883,185234,185400
884,185273,184496
885,184420,185305
886,185604,184585
887,185636,185788
888,185342,185296
889,185143,184899
890,185528,185236
891,185216,185458
892,185242,184995
893,185286,185083
894,185897,185259
895,184875,184850
896,185665,185895
897,184740,185419
898,185099,185832
899,186118,185101
900,185300,185299
901,185575,185067
902,185008,185623
903,185507,185229
904,185827,185527
905,185088,184910
906,185696,184688
907,185427,184670
908,184619,185298
909,184949,184688
910,185377,185589
911,185582,185279
912,185537,184893
913,186044,185419
914,185233,185195
915,185171,185430
916,185484,184827
917,185706,185022
918,185385,184763
919,184816,185220
920,184638,183961
921,184531,185211
922,184728,185238
923,184955,184937
924,185003,185383
925,185970,185456
926,184866,184826
927,184586,184859
928,185279,185823
929,184764,184643
930,185129,185015
931,184713,185647
932,184693,184768
933,184924,185027
934,185007,184971
935,185331,185647
936,184885,184993
937,185921,185118
938,185680,185191
939,186298,185261
940,184590,185366
941,184833,185415
942,185756,184908
943,186243,185307
944,184556,184929
945,184587,185673
946,185407,185247
947,185722,185508
948,185728,185461
949,185232,185356
950,185349,184845
951,185194,185590
952,185543,185574
953,185119,184687
954,185416,185788
955,185382,185417
956,185252,185307
957,185187,184752
958,185744,185243
959,185286,185444
960,185126,184846
961,184581,185203
962,184582,185361
963,185099,185414
964,184419,184521
965,185204,185236
966,185386,184839
967,185725,185176
968,185272,184940
969,185160,186053
970,184812,184271
971,185176,184696
972,184967,185065
973,186292,185271
974,184953,184740
975,184965,184821
976,185092,184650
977,185709,184784
978,184551,185283
979,184957,184535
980,185331,185304
981,185497,185952
982,185451,185844
983,185183,184420
984,185191,184865
985,185234,185144
986,184876,185150
987,185855,184647
988,184389,185309
989,185972,183628
990,185411,185500
991,185051,185401
992,184986,184954
993,185112,184864
994,185517,184807
995,185561,184597
996,185288,185070
997,184180,185396
998,185487,184833
999,185075,185345
1000,185305,184585
1001,185210,185200
1002,185053,185392
1003,184813,184704
1004,185686,185242
1005,185075,185057
1006,185323,185112
1007,184531,184840
1008,184644,185067
1009,185641,185487
1010,184952,185489
1011,185026,185008
1012,185646,183803
1013,184926,185245
1014,184824,185404
1015,184864,184624
1016,185406,185008
1017,185755,186051
1018,185160,185280
1019,185495,185408
1020,185229,185342
1021,186539,185408
1022,185823,185871
1023,185143,184755
1024,186040,185442
1025,184570,184803
1026,185232,184227
1027,185121,184912
1028,184718,185413
1029,185283,185489
1030,185099,185626
1031,185018,184742
1032,184959,184833
1033,185337,185867
1034,185457,185308
1035,185321,185427
1036,185740,184937
1037,184861,184610
1038,185191,184884
1039,185244,185158
1040,185129,184690
1041,185071,184674
1042,185091,186179
1043,186328,185604
1044,185268,184833
1045,185763,184998
1046,185675,184934
1047,184706,185333
1048,185081,184373
1049,185480,185247
1050,186458,184945
1051,185619,185202
1052,185013,185136
1053,185425,185274
1054,185619,184732
1055,185448,185099
1056,184985,185627
1057,184958,185380
1058,185508,184447
1059,185185,184535
1060,184868,185152
1061,185134,184853
1062,185286,185174
1063,184628,184787
1064,185645,185416
1065,185005,184972
1066,185424,184917
1067,185274,184737
1068,185116,184311
1069,185205,185351
1070,186037,184820
1071,185489,185762
1072,185364,185069
1073,185270,184794
1074,185422,185158
1075,185862,185089
1076,185402,184946
1077,185314,183942
1078,185526,185299
1079,185294,185430
1080,185480,185321
1081,184530,185396
1082,185056,184638
1083,184842,184921
1084,184907,185235
1085,185582,184542
1086,185376,185328
1087,185677,185581
1088,185188,184639
1089,185047,185965
1090,186055,184829
1091,185729,184669
1092,185150,185444
1093,185118,185467
1094,184278,185139
1095,184943,185646
1096,185577,185535
1097,185101,185371
1098,185663,186000
1099,185429,184997
1100,185602,184823
1101,186007,184539
1102,185227,185274
1103,185280,185041
1104,185796,185299
1105,184920,184450
1106,184873,184610
1107,184731,185239
1108,185395,185346
1109,185316,184443
1110,185144,185176
1111,185303,184979
1112,184928,185406
1113,185831,185205
1114,184354,185534
1115,185931,185735
1116,185493,185536
1117,184791,185222
1118,184967,184689
1119,185739,184968
1120,185118,184321
1121,184735,184705
1122,185498,185140
1123,185386,185707
1124,185175,185518
1125,185706,184785
1126,184721,185361
1127,185108,185299
1128,185687,185619
1129,185035,185587
1130,185502,185604
1131,185357,185133
1132,185107,185314
1133,185979,184883
1134,185265,185415
1135,185901,184547
1136,185599,185134
1137,185521,184949
1138,184650,185238
1139,185380,185143
1140,185279,185680
1141,186056,184724
1142,184912,185405
1143,185425,184716
1144,185341,184605
1145,185372,185388
1146,184378,185743
1147,185883,184910
1148,184911,185099
1149,184860,185151
1150,185123,186222
1151,185446,185086
1152,185356,184819
1153,185918,185061
1154,184920,185928
1155,184990,184327
1156,185243,185259
1157,185248,185560
1158,184459,185219
1159,184817,184657
1160,184637,184582
1161,184990,184671
1162,185844,185801
1163,185073,185130
1164,185051,185192
1165,184401,185345
1166,185110,185143
1167,185467,184703
1168,185715,185425
1169,185630,185470
1170,185056,185564
1171,185113,185697
1172,185068,185806
1173,185229,185931
1174,184262,185832
1175,185687,185459
1176,185933,184995
1177,185420,184968
1178,185122,184754
1179,185544,185193
1180,184636,185157
1181,185433,185083
1182,184767,185066
1183,185102,185503
1184,186202,185357
1185,185167,185462
1186,185107,185620
1187,185116,185455
1188,184537,184878
1189,185189,185118
1190,185286,184822
1191,184253,185316
1192,185395,184870
1193,186016,185465
1194,184701,185301
1195,185141,184507
1196,185444,184893
1197,184796,184998
1198,185941,184719
1199,185524,184834
1200,185428,184768
1201,185636,185285
1202,184803,185235
1203,185632,184068
1204,185330,186155
1205,185110,185669
1206,185039,185040
1207,184879,185122
1208,184886,184326
1209,184416,185539
1210,184461,184707
1211,186101,185253
1212,184934,185201
1213,185562,184999
1214,185790,185066
1215,184957,185279
1216,185802,184833
1217,185279,185289
1218,185773,185683
1219,185825,185470
1220,184781,185062
1221,185334,185419
1222,186360,185049
1223,185127,184165
1224,184919,185394
1225,184764,185694
1226,184920,185046
1227,185704,185664
1228,185172,185179
1229,185110,184875
1230,184530,185141
1231,185643,184749
1232,185827,185695
1233,185081,185394
1234,185342,185973
1235,184910,185245
1236,185749,186217
1237,185568,184760
1238,184808,184815
1239,184624,185218
1240,185090,185135
1241,185557,185580
1242,185198,184974
1243,184963,185318
1244,184991,185072
1245,184557,185081
1246,186041,185651
1247,185673,185902
1248,185142,185370
1249,184416,184905
1250,184500,185290
1251,185193,184772
1252,185390,184449
1253,184872,186010
1254,185616,184492
1255,185942,185031
1256,184957,184527
1257,185412,184875
1258,185260,184477
1259,185904,184443
1260,185637,186063
1261,184885,185093
1262,184990,185253
1263,185047,185516
1264,185340,185061
1265,185038,185080
1266,185443,185227
1267,185700,185271
1268,185521,186408
1269,184898,185438
1270,185386,185310
1271,186465,185231
1272,185293,184823
1273,185160,185663
1274,185323,184856
1275,185417,185406
1276,185338,185592
1277,185460,185036
1278,185072,185120
1279,184828,184336
1280,185486,185227
1281,185698,185025
1282,185395,184485
1283,185228,184429
1284,185026,185283
1285,184958,184511
1286,185236,185301
1287,185181,185290
1288,184743,185077
1289,185084,185608
1290,184583,185525
1291,185480,184591
1292,184984,184691
1293,185286,185584
1294,185199,184926
1295,184687,184697
1296,185927,185524
1297,185451,185591
1298,184691,185505
1299,184860,185990
1300,184845,184684
1301,185063,185432
1302,184724,184579
1303,185188,184449
1304,184559,185249
1305,185464,186165
1306,185532,184431
1307,185420,185715
1308,184638,184847
1309,185454,184991
1310,184994,184752
1311,184972,184905
1312,185119,185817
1313,185472,185230
1314,185429,185436
1315,184632,185059
1316,184298,186118
1317,185235,185541
1318,185211,184930
1319,185076,184782
1320,185519,185558
1321,185434,184881
1322,185366,184911
1323,184828,185496
1324,185594,185640
1325,185508,184630
1326,185764,185110
1327,185598,184746
1328,185285,184958
1329,185139,185517
1330,184754,185173
1331,184834,184611
1332,185025,184365
1333,185193,185816
1334,184757,185195
1335,184730,184997
1336,185441,185228
1337,185129,184380
1338,184985,185263
1339,185405,185630
1340,185479,186074
1341,185715,184667
1342,185615,185797
1343,184965,185404
1344,184166,184503
1345,185221,185279
1346,184565,184785
1347,184700,185067
1348,185561,185387
1349,185255,185317
1350,185125,185364
1351,185903,185285
1352,184990,185629
1353,185598,185800
1354,184915,185603
1355,185260,185261
1356,184992,185195
1357,184719,185520
1358,185722,185640
1359,185015,184870
1360,185256,184977
1361,185220,184695
1362,185415,185882
1363,185447,184738
1364,185070,185508
1365,185369,184986
1366,184899,184544
1367,185688,185433
1368,185326,184868
1369,185878,185538
1370,185296,185525
1371,185612,185401
1372,184183,184771
1373,184981,184814
1374,184710,184966
1375,185048,184603
1376,186128,184521
1377,185428,184899
1378,185546,184643
1379,184807,184754
1380,184684,184998
1381,185522,184750
1382,186039,185316
1383,184619,184908
1384,185085,185193
1385,184797,185011
1386,184989,185443
1387,184774,185087
1388,184477,185052
1389,185696,185263
1390,185834,185848
1391,185122,185416
1392,185340,184771
1393,185265,185499
1394,184520,184072
1395,185020,184449
1396,184521,185066
1397,185106,185003
1398,184974,184958
1399,185646,185096
1400,185131,185276
1401,184896,185373
1402,185152,185214
1403,185172,185554
1404,185483,184782
1405,185222,185002
1406,184904,184412
1407,185768,185639
1408,185204,185603
1409,185001,185972
1410,185154,185124
1411,184769,185286
1412,184875,185717
1413,185734,184442
1414,185800,184247
1415,184739,184795
1416,185560,184949
1417,184920,184998
1418,186468,185823
1419,184407,183834
1420,185364,185605
1421,185362,184959
1422,185585,185112
1423,184683,185299
1424,184996,185899
1425,185079,185737
1426,185505,184523
1427,185486,184852
1428,185191,184777
1429,186181,185170
1430,184722,185533
1431,184505,185430
1432,185173,185631
1433,185145,184850
1434,184724,185473
1435,184920,184719
1436,185355,184788
1437,185536,184887
1438,185783,184775
1439,185321,185066
1440,185223,184860
1441,184525,184697
1442,185187,184841
1443,184832,185420
1444,185764,185787
1445,185534,184942
1446,184905,185063
1447,185030,185649
1448,184794,185499
1449,185776,185475
1450,184347,186017
1451,184593,184318
1452,185666,185354
1453,185833,185303
1454,186259,185256
1455,185645,185334
1456,184559,185651
1457,185309,185365
1458,184915,185238
1459,185293,184341
1460,185451,185612
1461,184913,184933
1462,185408,185621
1463,185270,185325
1464,185684,184920
1465,185663,185179
1466,184367,185375
1467,185139,185223
1468,184229,185025
1469,185762,184942
1470,184935,185138
1471,184772,184631
1472,185011,185057
1473,185260,185370
1474,184615,184259
1475,184767,185379
1476,184996,185413
1477,185173,184872
1478,185232,184822
1479,185316,184496
1480,185461,185564
1481,184686,185421
1482,184528,185429
1483,184927,184059
1484,184936,185884
1485,185407,185007
1486,184997,184738
1487,185673,185851
1488,185344,185234
1489,186168,185076
1490,186153,184609
1491,184791,185994
1492,184948,184866
1493,185070,185551
1494,184533,185388
1495,184822,185753
1496,184850,184982
1497,185266,184674
1498,185755,185216
1499,185609,185290
1500,185272,185833
1501,185776,185676
1502,185384,185654
1503,184868,185396
1504,185473,185545
1505,185340,184832
1506,185832,184723
1507,185082,184923
1508,185603,185131
1509,184957,184749
1510,185176,184709
1511,185325,185004
1512,185464,185525
1513,185078,185554
1514,184843,184775
1515,184719,185085
1516,185858,185259
1517,185468,185116
1518,185610,185480
1519,185540,185246
1520,185734,184982
1521,185447,185932
1522,184846,185329
1523,185154,185190
1524,184796,185298
1525,185241,185392
1526,184791,184994
1527,185513,185095
1528,184741,185435
1529,184156,185153
1530,185070,184829
1531,185130,185905
1532,185033,185584
1533,184817,185336
1534,185416,184996
1535,185008,184749
1536,185086,184372
1537,185385,184839
1538,185436,185891
1539,184905,185365
1540,185854,185098
1541,185735,184988
1542,185184,184965
1543,185127,185124
1544,185305,184710
1545,185051,184721
1546,185538,185415
1547,185207,185215
1548,185960,184791
1549,185129,185198
1550,185844,184474
1551,185618,184890
1552,185460,185015
1553,184748,185475
1554,185819,184975
1555,184748,185106
1556,185192,184960
1557,186208,185877
1558,184797,185585
1559,184539,186092
1560,185645,185200
1561,185873,184434
1562,186070,186051
1563,185122,184865
1564,185949,184920
1565,185377,184814
1566,185611,185291
1567,185788,184800
1568,185274,185183
1569,185333,185417
1570,185479,185106
1571,185569,184667
1572,184620,185066
1573,185453,185659
1574,184524,185508
1575,184476,184935
1576,184111,185897
1577,184967,185130
1578,185141,184624
1579,184897,185188
1580,185879,184928
1581,184525,186169
1582,185165,184972
1583,185010,184793
1584,185005,184272
1585,185274,184805
1586,185083,185308
1587,184883,184744
1588,185148,185187
1589,185288,184983
1590,185893,184783
1591,184792,184774
1592,185031,185515
1593,184569,184977
1594,185338,184885
1595,185638,184854
1596,185305,185014
1597,185156,185681
1598,185388,183987
1599,184483,185830
1600,185138,185628
1601,186029,184697
1602,185357,185383
1603,185203,185957
1604,185457,185652
1605,185839,185008
1606,185514,185511
1607,185857,184619
1608,184545,184780
1609,184616,184452
1610,185738,184722
1611,185125,185051
1612,185120,185038
1613,184636,185093
1614,185268,185339
1615,185382,185111
1616,184754,184993
1617,185191,185047
1618,184983,184939
1619,185557,184571
1620,185410,185021
1621,185200,185010
1622,184518,184593
1623,184711,185394
1624,185143,185216
1625,185774,185328
1626,184914,184699
1627,185230,184790
1628,186099,185091
1629,185308,185649
1630,184739,185071
1631,186434,185058
1632,185337,184745
1633,185400,185238
1634,184822,185040
1635,185059,185045
1636,186504,185121
1637,184882,185451
1638,185129,185507
1639,185199,185871
1640,185023,185601
1641,184152,185349
1642,185078,184825
1643,184919,184603
1644,184633,185312
1645,185351,184529
1646,185079,185174
1647,184635,185401
1648,185519,185122
1649,184839,185216
1650,185659,184803
1651,185219,185500
1652,185343,184865
1653,186267,184781
1654,185508,185040
1655,185069,185286
1656,184760,185152
1657,185877,185376
1658,185319,185324
1659,184983,185069
1660,185739,185154
1661,185454,185607
1662,185337,185110
